User_ID,Item_ID,Ratings, timestamp
AKM1MP6P0OYPR,0132793040,5,1365811200
A2CX7LUOHB2NDG,0321732944,5,1341100800
A2NWSAGRHCP8N5,0439886341,1,1367193600
A2WNBOD3WNDNKT,0439886341,3,1374451200
A1GI0U4ZRJA8WN,0439886341,1,1334707200
A1QGNMC6O1VW39,0511189877,5,1397433600
A3J3BRHTDRFJ2G,0511189877,2,1397433600
A2TY0BTJOTENPG,0511189877,5,1395878400
A34ATBPOK6HCHY,0511189877,5,1395532800
A89DO69P0XZ27,0511189877,5,1395446400
AZYNQZ94U6VDB,0511189877,5,1401321600
A1DA3W4GTFXP6O,0528881469,5,1405641600
A29LPQQDG7LD5J,0528881469,1,1352073600
AO94DHGC771SJ,0528881469,5,1370131200
AMO214LNFCEI4,0528881469,1,1290643200
A28B1G1MSJ6OO1,0528881469,4,1280016000
A3N7T0DY83Y4IG,0528881469,3,1283990400
A1H8PY3QHMQQA0,0528881469,2,1290556800
A2CPBQ5W4OGBX,0528881469,2,1277078400
A265MKAR2WEH3Y,0528881469,4,1294790400
A37K02NKUIT68K,0528881469,5,1293235200
A2AW1SSVUIYV9Y,0528881469,4,1289001600
A2AEHUKOV014BP,0528881469,5,1284249600
AMLFNXUIEMN4T,0528881469,1,1307836800
A2O8FIJR9EBU56,0528881469,4,1278547200
A3IQGFB959IR4P,0528881469,1,1327363200
AYTBGUX49LF3W,0528881469,4,1398470400
A24QFSUU00IZ05,0528881469,2,1293580800
A1NG5X8VYZWX0Q,0528881469,1,1286582400
A1E4WG8HRWWK4R,0528881469,5,1390867200
A2AOEW5UGXFOOQ,0528881469,5,1294790400
A2XSWV6AQI90BR,0528881469,1,1299974400
AR84FMFYCQCWF,0528881469,1,1296691200
A19TBA1WARJS55,0528881469,2,1340496000
A3C5SMBSKKWNPT,0528881469,5,1285113600
A24EV6RXELQZ63,0528881469,1,1317254400
A3T6ZQONABIJSG,0528881469,1,1358035200
A132P6YSJSI5G2,0528881469,2,1298851200
A1NQPG5IJ43HJI,0558835155,3,1372550400
A2WOJCFAWI8VS8,059400232X,5,1379376000
A22FB2WSZSXSHH,059400232X,5,1348790400
AZQZ3STMCBG5H,059400232X,5,1395705600
A2EGPA22UHMQXL,0594012015,1,1405296000
AC57CU3TF6ZMJ,0594012015,5,1404172800
A2YX0Z6RHA8Y2H,0594012015,1,1384300800
A38T51B7J6QVD9,0594012015,1,1377129600
A1HOSS7PNC1LMU,0594012015,1,1374537600
A9HI77BE35VYE,0594012015,1,1373932800
A3HFUWKSPF5QEH,0594012015,5,1374278400
A38ETMHM9ATSF0,0594012015,1,1374105600
A34O6MND17VDDH,0594017343,1,1323216000
A3JSAGWSLY5044,0594017580,3,1404432000
A3B12X05JZKM94,0594033896,5,1405382400
AKZOMZCNU41GZ,0594033896,4,1388620800
A2XTFY0GJDF3R2,0594033896,4,1300233600
A3ILG56NE5QU37,0594033896,5,1399420800
AOK77THMKCGXZ,0594033896,4,1394496000
A24RBL3W5W6SAN,0594033926,5,1392422400
A2RX85Y4S27N2J,0594033926,1,1397865600
A253JJFXQNPCOJ,0594033926,4,1387584000
AHYURLVH267MA,0594033926,5,1389225600
A1FXYTO11KEJ2P,0594033926,4,1398297600
A2TKKYL3GKFS2M,0594033926,5,1388102400
A3F069UFW04K1E,0594033926,5,1392249600
A3HQ8RXUMJ2Y58,0594033926,5,1400976000
A2MNKBHPMBB0EA,0594033926,5,1390003200
A3HGTTFIDLCWDJ,0594033926,4,1396483200
AYM7NJTTX3M0L,0594033926,5,1393200000
A2PL24SVISXZM9,0594033926,5,1392422400
A3I1C8WM8DLSMM,0594033926,5,1395964800
A29LNVZLBG0IYN,0594033926,5,1402876800
A2CP4GY6XAWIII,0594033926,5,1403568000
A1UMFN4RKU451R,0594033934,5,1359244800
A3T3XKC7H5ACI1,0594033934,5,1401235200
A1NQNJ3EAZ6CMZ,0594202442,4,1360108800
A34TPQUVSQXXPX,0594287995,5,1380672000
A2B4F6LP0ZLI8E,0594296420,3,1398556800
A1RKH6803HVOQL,0594296420,5,1365379200
A3ZNVCQCG57AY,0594296420,5,1359331200
A1HM74IXWXQ5D8,0594296420,5,1392854400
A2DUI0YVE1DZ48,0594296420,5,1388016000
AH3LYMIBZ6DKF,0594296420,5,1380672000
AWA0CM7TY98QX,0594450209,5,1382313600
A244IAP7UBVHH6,0594450209,5,1389139200
A3E7PG9CHDBICA,0594450705,5,1403827200
A2JXAZZI9PHK9Z,0594451647,5,1388707200
A1RTWWRHVIVWQW,0594451647,5,1404691200
A2P5U7BDKKT7FW,0594451647,2,1398556800
A262D8GC5XRU31,0594451647,5,1400025600
AAZ084UMH8VZ2,0594451647,5,1399161600
A3M122DYN9L5N8,0594451647,1,1388707200
A3S0RV5ZQ37538,0594451647,4,1399075200
A150Y5KRN7FWJJ,0594451647,5,1384646400
AEZ3CR6BKIROJ,0594451647,4,1405036800
A3BY5KCNQZXV5U,0594451647,5,1390176000
A1JIOBEWHVV8MC,0594451647,5,1393545600
A2OJRZGW5YVGNS,0594451647,5,1384905600
A14KUMEJ094IZ3,0594451647,5,1396396800
A212UCG62RO8JF,0594451647,5,1389657600
A18U7ZDE2VHD01,0594477670,5,1361232000
A39J1PTX1KAL66,0594477670,5,1388361600
A2IEJQ8754BMSI,0594477670,4,1348185600
APGCN777AZIYR,0594478162,4,1389484800
A1UMV2TNJ96LMU,0594481813,5,1390003200
A7S2B0I67WNWB,0594481813,4,1397606400
A3HICVLF4PFFMN,0594481813,5,1399248000
A3HGP1YI7G80HA,0594481813,5,1390176000
A2SRW2W1GXYKQZ,0594481813,5,1403827200
A3S51KDTK4P2JP,0594481813,4,1402876800
A2ATRYXF83T83K,0594481813,5,1399766400
A5MJPMMDAA1RQ,0594481813,5,1395964800
A1RGYV1ASMTMSE,0594481813,1,1390003200
ANSKSPEEAKY7S,0594481813,5,1372032000
A2QBZA4S1ROX9Q,0594481813,3,1369440000
A2FT4NPBE189NB,0594481813,5,1402790400
AEFUHKIXACWJW,0594481813,5,1383868800
ANY6JUFM0GH8U,0594481813,5,1394323200
A29AHNG4TUERKG,0594481813,1,1375401600
AT09WGFUM934H,0594481813,3,1377907200
A1JB5VD57VRYAX,0594481813,5,1389830400
A22055Y81HHDQ9,0594481813,1,1384732800
A2CVNEE0H2F1YE,0594481813,4,1385424000
ASLRVLGGF5F2J,0594481813,5,1404864000
A2TSQNO5HXCYN2,0594481813,5,1395273600
A1G0KYO61NFVTF,0594481813,5,1400803200
A2OC1UK7VMBLOT,0594481813,4,1398643200
A260COKJRRVS3U,0594481813,5,1401840000
A1T8TP4OHT5T13,0594481813,4,1399420800
AGAKHE014LQFU,0594481813,3,1379462400
A3NU787GB0X67S,0594481813,5,1404950400
AY0BL2JD0GAFT,0594481813,5,1399248000
A2UVFEZ7UDBRAA,0594481813,5,1368576000
A2332ANCYJS96P,0594481813,5,1398643200
A1S6B5QFWGVL5U,0594481813,4,1372291200
A399VAWM09IRH9,0594481902,5,1403827200
AMP3SRCVG8VED,0594481902,5,1403654400
ANFUGJ8Z9EMQS,0594481902,5,1398384000
A2N3PEHL6QY8U8,0594481902,5,1398816000
A2KK9GUTOXMB43,0594481902,5,1399075200
A1G5M9B068B6N4,0594481902,5,1370649600
A107S4MT25VXQ5,0594481902,5,1399507200
A1IIGG5OMZKNYP,0594481902,2,1382832000
A3RV0ZUIEOM0TX,0594481902,5,1384473600
AAWFWZ2K9WTV1,0594481902,5,1395619200
A2J3WVIQ5LO1O7,0594481902,4,1400284800
A1GI134K2EVPEM,0594481902,5,1401235200
A37ASPPZ778F9O,0594481902,1,1403913600
AWL0JAXP3LQWJ,0594482127,4,1390176000
A29FNXHYVA2W4G,0594511488,5,1398124800
A32JHAQPVSGHUD,0594511488,5,1396828800
A2C8SNQ59NMJ1,0594514681,5,1389916800
AUMPN10O0S5WE,0594514681,4,1393372800
A1APJUGO70YI8,0594514789,5,1398988800
A3EI9TX2A4MUSZ,0594549507,4,1386720000
A3JQESKSRFB6MV,0594549558,5,1388534400
A3AW83CCH2SYAG,0743610431,5,1394841600
A3IL8P9RPBUW2X,0743610431,3,1374278400
A1C09ZLU9Z56TG,0777700018,5,1355011200
A2E14J26DQZOAA,0777700018,5,1355529600
A16OJ9FTF432BE,0840017677,4,1321315200
A2WOSVWG4SX1J1,0879393742,5,1386892800
A17ZYVAZZZWXU5,0879393742,3,1388534400
A1PY7ODDSRIFGV,0879393742,4,1368057600
AJ4QIAKKHW21N,089933623X,1,1312156800
A2RMLNVKPFRK7X,089933623X,4,1207699200
A2R4GEWPLORVSO,0899336795,2,1103328000
A1KKUYTDUZDZSA,0899336795,4,1104192000
A34527S2PDKKGN,0899336795,3,1204848000
ACVACAN9F8XKR,0899336795,1,1180915200
A5OXSZ6JI3WW0,0899336795,1,1308528000
A28K8QC9C4WPGE,0899336795,1,1141084800
A266DODBJYK0X,0899336795,1,1116806400
A17RBVZX3VTNBW,0899336795,1,1111449600
AV4GK35MHBFMW,0899336795,1,1133395200
A3UKB1QYS8KBW0,0899336795,1,1104537600
A11E2USO989A37,094339676X,5,1388448000
A9CRICSLKO7DJ,0970407998,1,1330732800
A32HSNCNPRUMTR,0970407998,1,1319673600
A17HMM1M7T9PJ1,0970407998,4,1281744000
A1GWA4DX7T4RWE,0970407998,5,1300492800
A233AWZLS4LDYO,0970407998,5,1359676800
A737SIAIN3WIY,0970408005,5,1182816000
AVH06NSECM8EY,0970408005,3,1323475200
A1BKC6B7YHYTVV,0972683275,4,1405382400
AWVFSIB42LHKJ,0972683275,4,1405209600
A36MQBNADRH8YY,0972683275,5,1405641600
A3SRXMPLAEZ6DP,0972683275,4,1405987200
A20XXTXWF2TCPY,0972683275,5,1405123200
AOZZ0CTG5RMW1,0972683275,4,1302912000
A2IDCSC6NVONIZ,0972683275,5,1367280000
AML8NIWFKHZJU,0972683275,3,1383782400
A33HBPL7Q6SZMG,0972683275,5,1385337600
A22JDDJB1ZLGGZ,0972683275,5,1372636800
A39PZJCRS98E6P,0972683275,5,1316908800
A17S5ODXALEGVP,0972683275,5,1325376000
A2WAXINV2ODKUQ,0972683275,5,1373846400
A23X08KRDJKF7,0972683275,5,1388016000
A15FPN5N8TI3Q8,0972683275,3,1361059200
A1ZD73MDX4POAY,0972683275,5,1336521600
A1EDI0X3GI1SK7,0972683275,5,1323993600
A3BMUBUC1N77U8,0972683275,4,1385164800
A1WSLZ5AVVHLRX,0972683275,5,1370476800
A2ZBW1GVAXYGNI,0972683275,1,1359504000
A3H4C425X1H2H9,0972683275,5,1402358400
A17D7RRY5F6Q6E,0972683275,4,1369267200
AYL6T95NTTYCT,0972683275,1,1343260800
ARG1JEPRCUDQT,0972683275,5,1381190400
A3BPE4JK9G2SIE,0972683275,5,1351296000
AVRFGGCCCR6QU,0972683275,4,1283126400
ARW08E970C4A4,0972683275,3,1379203200
AKUNHU70LFK6E,0972683275,5,1375660800
A156MPSDULFFO5,0972683275,4,1311292800
A1RJD803EYM353,0972683275,5,1360454400
A3UOSOCRKS3WIH,0972683275,5,1368316800
AWE6E7DWGGWN7,0972683275,5,1365465600
A3PRSCGIX3NY0X,0972683275,5,1388448000
A1RGY08MHYC8AG,0972683275,4,1377907200
AQJ9VAGG0QKEH,0972683275,5,1374364800
A3NFODKXP6LXLV,0972683275,5,1400457600
A36JCYNJG4Q2W6,0972683275,5,1293580800
A2XPU8EMY19NBQ,0972683275,3,1315008000
A1FAOXB8IJS99K,0972683275,5,1326412800
A19X9H8DC3U31K,0972683275,5,1360972800
A32XX53PIYV78T,0972683275,4,1304812800
A1G1B7UE7D675U,0972683275,5,1383955200
A778X9CUE16YO,0972683275,4,1393977600
A1E9C49T7E6GKV,0972683275,5,1377475200
A2G2K3OC74CPFZ,0972683275,5,1311465600
A371ZZ95ZQEIZV,0972683275,4,1389052800
A17BX6ISOLKLXM,0972683275,4,1294617600
A1SJ4E4I684N6M,0972683275,5,1377561600
A3A5LQ5T7M7I8V,0972683275,5,1346716800
A18SGGRTJKKHR3,0972683275,3,1317168000
A2ZSAJ28QS6Z68,0972683275,5,1357257600
A2UUNC4CW16062,0972683275,3,1361232000
A7060R14RJF3I,0972683275,4,1368835200
AIHN98QLUVU7E,0972683275,5,1325116800
A3RCX7Z7I9G2MF,0972683275,5,1388966400
A1JLEDHBYBOLG2,0972683275,5,1321488000
A3GG0HR8199P8Z,0972683275,1,1336348800
A3R0H2RJY9DM99,0972683275,5,1325116800
A26QCCO0101CO1,0972683275,5,1361404800
APBF796U7GUTV,0972683275,5,1331942400
A3T1DE9OZLLLWG,0972683275,1,1360454400
AUCYYUP15XJA,0972683275,5,1367884800
A14V9YT3C4QRPW,0972683275,4,1366156800
A1HRZF7BQSCLUC,0972683275,4,1354665600
AZPT44204EODM,0972683275,5,1393113600
A1TDQTL9185HTU,101,5,1404777600
